,0001.HK,0002.HK,0003.HK,0004.HK,0005.HK,0006.HK,0008.HK,0010.HK,0011.HK,0012.HK,0013.HK,0014.HK,0016.HK,0017.HK,0019.HK,0020.HK,0023.HK,0027.HK,0034.HK,0041.HK,0044.HK,0045.HK,0053.HK,0054.HK,0066.HK,0069.HK,0078.HK,0083.HK,0096.HK,0097.HK,0101.HK,0119.HK,0123.HK,0127.HK,0135.HK,0142.HK,0144.HK,0148.HK,0151.HK,0152.HK,0165.HK,0168.HK,0173.HK,0177.HK,0179.HK,0183.HK,0190.HK,0196.HK,0200.HK,0208.HK,0210.HK,0220.HK,0242.HK,0257.HK,0267.HK,0270.HK,0272.HK,0276.HK,0285.HK,0291.HK,0293.HK,0297.HK,0302.HK,0303.HK,0304.HK,0308.HK,0316.HK,0321.HK,0322.HK,0323.HK,0330.HK,0336.HK,0337.HK,0338.HK,0340.HK,0341.HK,0347.HK,0349.HK,0358.HK,0363.HK,0368.HK,0384.HK,0386.HK,0388.HK,0390.HK,0392.HK,0410.HK,0425.HK,0432.HK,0440.HK,0467.HK,0480.HK,0489.HK,0493.HK,0494.HK,0506.HK,0511.HK,0517.HK,0522.HK,0525.HK,0531.HK,0538.HK,0551.HK,0552.HK,0563.HK,0576.HK,0581.HK,0604.HK,0606.HK,0626.HK,0639.HK,0656.HK,0658.HK,0659.HK,0669.HK,0672.HK,0678.HK,0680.HK,0682.HK,0683.HK,0688.HK,0691.HK,0694.HK,0697.HK,0700.HK,0709.HK,0728.HK,0737.HK,0743.HK,0753.HK,0754.HK,0762.HK,0763.HK,0773.HK,0806.HK,0809.HK,0813.HK,0817.HK,0823.HK,0825.HK,0836.HK,0848.HK,0857.HK,0868.HK,0880.HK,0882.HK,0883.HK,0902.HK,0903.HK,0906.HK,0910.HK,0914.HK,0917.HK,0939.HK,0941.HK,0966.HK,0981.HK,0991.HK,0992.HK,0998.HK,1038.HK,1044.HK,1055.HK,1068.HK,1088.HK,1098.HK,1109.HK,1111.HK,1133.HK,1138.HK,1168.HK,1171.HK,1175.HK,1186.HK,1199.HK,1205.HK,1211.HK,1212.HK,1224.HK,1333.HK,1361.HK,1382.HK,1387.HK,1393.HK,1398.HK,1688.HK,1766.HK,1800.HK,1813.HK,1836.HK,1868.HK,1880.HK,1881.HK,1882.HK,1886.HK,1888.HK,1893.HK,1898.HK,1919.HK,2006.HK,2007.HK,2018.HK,2020.HK,2038.HK,2300.HK,2314.HK,2318.HK,2319.HK,2328.HK,2331.HK,2332.HK,2343.HK,2356.HK,2380.HK,2388.HK,2600.HK,2628.HK,2688.HK,2689.HK,2727.HK,2777.HK,2778.HK,2866.HK,2883.HK,2899.HK,3308.HK,3323.HK,3328.HK,3339.HK,3368.HK,3377.HK,3382.HK,3383.HK,3389.HK,3808.HK,3818.HK,3833.HK,3883.HK,3900.HK,3968.HK,3983.HK,3988.HK,3993.HK,3998.HK
2008-12-05,0.021949071767710257,0.021437899112795727,0.014723035350032197,0.014497611087347375,0.051534457135723084,0.01782325844695421,0.0,0.013746143891552771,0.01955123482308968,0.013940508445104211,0.026617017444252353,0.012618302648211038,0.020160293979060374,0.0,0.015723032867204827,0.0,0.01414756578046504,0.0,0.0,0.0,0.0,0.0,0.0,0.013346446566526286,0.014259461346992849,0.013588936802335848,0.0,0.01353839613308569,0.015419625580053636,0.0,0.014981419153587259,0.0,0.0,0.0,0.012466403518934788,0.0,0.013503701740651864,0.012543893373033604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012374704597898202,0.0,0.0,0.013509545712136653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013527680606253197,0.0,0.01650282249106678,0.012509028529406425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012752157610752171,0.0,0.0,0.0,0.018107267670649036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012689023457629683,0.0,0.012293629514071602,0.0,0.0,0.0,0.012798349908602014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012920757710444476,0.01609539276154167,0.0,0.0,0.0,0.01619360715789886,0.0,0.016053700159184125,0.0,0.0,0.0,0.0,0.017231654339998497,0.0,0.0,0.0,0.0,0.0,0.0,0.015028555255462425,0.0,0.013944952891278426,0.0,0.02494226300020544,0.0,0.0,0.0,0.022183428048942473,0.013383188489282417,0.0,0.0,0.0,0.0,0.0,0.03150408099003817,0.051534457135723084,0.0,0.0,0.0,0.0,0.0,0.013253337134307742,0.013668995706317404,0.0,0.0,0.016876894676455163,0.0,0.013887073380262632,0.0,0.0,0.0,0.0,0.012682413826731484,0.0,0.0,0.012525747391422114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03363669346437332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016529996295364783,0.013043274248755461,0.0,0.0,0.0,0.0,0.0,0.0,0.01507850316723029,0.0,0.027003087979078067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02161601769653077,0.0,0.0
2009-03-06,0.026965520274568357,0.02928349015627822,0.021584788190340445,0.01832355127633029,0.06598569824770663,0.024328859220878036,0.0,0.01761118550823329,0.02336103198307508,0.01895011749120573,0.0,0.016196962393445313,0.027789650015476838,0.0,0.020194048014440986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018528461844531562,0.0,0.0,0.0,0.0,0.0,0.019360622390464603,0.0,0.0,0.015931052894642205,0.0160100551948427,0.0,0.01732344602489111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01737094177068784,0.0,0.021801718370903767,0.016256945107631975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01663676892567926,0.0,0.0,0.0,0.0,0.0,0.01744559112347951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01673095736366817,0.021669535165611063,0.0,0.0,0.0,0.021870009632656433,0.0,0.020501649952595267,0.0,0.0,0.0,0.0,0.021512873386955914,0.0,0.0,0.0,0.0,0.0,0.0,0.019880936589839082,0.0,0.01830137884362788,0.0,0.030838106618526775,0.0,0.0,0.0,0.030926130044368543,0.0,0.0,0.0,0.0,0.0,0.0,0.03504997283501586,0.06598569824770663,0.0,0.0,0.0,0.0,0.0,0.017181972468994274,0.01820897469883129,0.0,0.01652844852932628,0.0,0.0,0.01742315667914998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03569139177472131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022792423225082892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017381816693035016,0.03813150358420627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026152557246347338,0.0,0.0
2009-06-05,0.027200688131925395,0.023692895273859316,0.021072846518799225,0.01930684301442484,0.06675471418365128,0.020513040630487697,0.0,0.01815918617768562,0.023441514538650468,0.020005610068497236,0.0,0.016435960679108567,0.029209460217098415,0.0,0.020769225601304953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01854188668124626,0.0,0.0,0.018238238668204523,0.0,0.0,0.02019209095676119,0.0,0.0,0.0,0.01648333942923115,0.0,0.0180012242320237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017117140383783182,0.0,0.020181431993713278,0.01617850638293185,0.0,0.0,0.0,0.0,0.0,0.0,0.0171625390488761,0.017024269474651944,0.0,0.0,0.0,0.0,0.0,0.017111636050870998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017687761787626672,0.02124357750647693,0.0,0.0,0.0,0.023414836747046634,0.0,0.020138779128323764,0.0,0.0,0.0,0.0,0.02153848261384263,0.0,0.0,0.0,0.0,0.0,0.0,0.01862361328228494,0.0,0.0,0.0,0.033004412731030136,0.0,0.0,0.0,0.03315027576981468,0.0,0.0,0.0,0.0,0.0,0.0,0.03612321532822951,0.057763847569958074,0.0,0.0,0.0,0.0,0.0,0.01651030445835236,0.017748139803504964,0.0,0.0,0.0,0.0,0.01788499945832458,0.0,0.0,0.0,0.0,0.017356883891148114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03532965352225195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022786810999541343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018228790380084535,0.03523559414674985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03343573253762126,0.0,0.0
2009-09-04,0.02599330734302731,0.02313854060375713,0.021291742079810425,0.019382026303610977,0.0666712702815347,0.0202707639453304,0.0,0.01799889725118185,0.022364069812524007,0.019636227580845468,0.0,0.016346286091610387,0.02912298642932519,0.0,0.020522771344484443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018593558766747124,0.01692643463050766,0.0,0.017859790724570994,0.0,0.0,0.019855253395461132,0.0,0.0,0.0,0.0164023683269874,0.0,0.01780048258275203,0.016762528911499423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01603100936727316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019651843331740963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017118495619823502,0.0,0.0,0.0,0.02726066423351689,0.0,0.016999013240473423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02139293531414245,0.0,0.016236578431182907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02107079674697871,0.0,0.0,0.0,0.025392698710862006,0.0,0.0,0.0,0.0,0.0,0.0,0.020617868985434967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018315317470389083,0.0,0.0,0.0,0.0,0.0,0.030650225050635336,0.0,0.0,0.0,0.0,0.0,0.0,0.04320246476243397,0.053648836700558006,0.0,0.0,0.0,0.0,0.0,0.016439135843781313,0.018261023919092553,0.0,0.0,0.02433007117402576,0.0,0.018268545530306476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04030541345502818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03600651349113686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01769430384883449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02031683918156137,0.0,0.033850099185219445,0.0,0.0
2009-12-04,0.02570973830284138,0.02228326786233069,0.02067176726462533,0.01967001384188411,0.06661723695852442,0.019666627696628032,0.0,0.01795135125166254,0.0219204054090603,0.02003496281766465,0.0,0.016490982056265445,0.028771675675427093,0.0,0.020660503189893972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01820673525287657,0.01701676851857362,0.0,0.017882102673946708,0.0,0.0,0.020009374019684043,0.0,0.0,0.0,0.016803730290618477,0.0,0.01736264336111473,0.01670395640412294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017686048650811092,0.0,0.016057780484639864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01983469569557526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025881774512463318,0.0,0.01734037755280112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021822368958976344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020825212281624355,0.0,0.0,0.0,0.026343319689489438,0.0,0.0,0.0,0.0,0.0,0.0,0.01974158372981809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03130011927105592,0.0,0.0,0.0,0.0,0.0,0.0,0.04498680269295716,0.048116317887754785,0.0,0.0,0.0,0.0,0.0,0.016324923497224357,0.018669862963933227,0.0,0.01695592257788331,0.025080366826099505,0.0,0.01830687386645897,0.0,0.0,0.0,0.0,0.017714203575293096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042090448000271306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03777434587083469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017946582934848836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020721908006969086,0.0,0.03404431762447188,0.0,0.0
2010-03-05,0.02450347181205302,0.021921766249077542,0.020010761650226465,0.018898589583805088,0.06525253506201786,0.01932771669110659,0.0,0.017285367521920992,0.02089222434162341,0.019014323910363156,0.0,0.01577815954233187,0.02714227772828522,0.0,0.019801647607395348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015889166019015088,0.017740177943923956,0.016250568046242742,0.0,0.017421757927549044,0.0,0.0,0.019327249016500646,0.0,0.0,0.0,0.0,0.0,0.01718018068181644,0.0162487560865702,0.0,0.0,0.0,0.015718695291207743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017274080205863573,0.0,0.015522189307040715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019469374132625242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024446939830407292,0.0,0.0166350279543993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02235365066454027,0.0,0.015612327521543541,0.0,0.0,0.0,0.0,0.0,0.016061241319889143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016796511128254386,0.019721790966619173,0.0,0.0,0.0,0.026340912020278856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030834022698052396,0.0,0.0,0.0,0.0,0.0,0.0,0.03971548797430518,0.04672292323214334,0.0,0.0,0.0,0.0,0.0,0.015781055827999414,0.017967630438287426,0.0,0.016634770154002353,0.023266849726806704,0.0,0.017186511181398093,0.0,0.0,0.0,0.0,0.017182024669805077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03756877392934154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033387090022788966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016781560710608705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020037384948466953,0.0,0.03109447672150005,0.0,0.0
